station,time,number
บางซื่อ,jan_17,407394
บางซื่อ,feb_17,393804
บางซื่อ,mar_17,459304
บางซื่อ,apr_17,387952
บางซื่อ,may_17,429761
บางซื่อ,jun_17,463511
บางซื่อ,jul_17,456940
บางซื่อ,aug_17,302773
บางซื่อ,sep_17,164614
บางซื่อ,oct_17,148332
บางซื่อ,nov_17,152166
บางซื่อ,dec_17,134171
กำแพงเพชร,jan_17,127461
กำแพงเพชร,feb_17,126835
กำแพงเพชร,mar_17,132333
กำแพงเพชร,apr_17,128775
กำแพงเพชร,may_17,107238
กำแพงเพชร,jun_17,121473
กำแพงเพชร,jul_17,134978
กำแพงเพชร,aug_17,132479
กำแพงเพชร,sep_17,132701
กำแพงเพชร,oct_17,132985
กำแพงเพชร,nov_17,130121
กำแพงเพชร,dec_17,148047
สวนจตุจักร,jan_17,568661
สวนจตุจักร,feb_17,552833
สวนจตุจักร,mar_17,641153
สวนจตุจักร,apr_17,561960
สวนจตุจักร,may_17,813812
สวนจตุจักร,jun_17,603928
สวนจตุจักร,jul_17,602430
สวนจตุจักร,aug_17,665525
สวนจตุจักร,sep_17,682854
สวนจตุจักร,oct_17,653416
สวนจตุจักร,nov_17,699916
สวนจตุจักร,dec_17,658539
พหลโยธิน,jan_17,522046
พหลโยธิน,feb_17,504924
พหลโยธิน,mar_17,574090
พหลโยธิน,apr_17,502383
พหลโยธิน,may_17,738360
พหลโยธิน,jun_17,555900
พหลโยธิน,jul_17,552151
พหลโยธิน,aug_17,578694
พหลโยธิน,sep_17,563703
พหลโยธิน,oct_17,523164
พหลโยธิน,nov_17,560998
พหลโยธิน,dec_17,537489
ลาดพร้าว,jan_17,514137
ลาดพร้าว,feb_17,494548
ลาดพร้าว,mar_17,567285
ลาดพร้าว,apr_17,471926
ลาดพร้าว,may_17,797474
ลาดพร้าว,jun_17,552532
ลาดพร้าว,jul_17,536918
ลาดพร้าว,aug_17,584035
ลาดพร้าว,sep_17,568071
ลาดพร้าว,oct_17,531724
ลาดพร้าว,nov_17,571873
ลาดพร้าว,dec_17,498594
รัชดาภิเษก,jan_17,147377
รัชดาภิเษก,feb_17,142665
รัชดาภิเษก,mar_17,165562
รัชดาภิเษก,apr_17,131795
รัชดาภิเษก,may_17,235920
